factor,Osm,Deformability,Relative_Deformability,Exp,Deformability_All,Relative_Deformability_All,Size,n_all,n_sel
hypo2,200,0.0811125040054321,1.1330341531647,1,0.0910292863845825,1.22070750164356,14.1013810486875,2561,609
hypo1,250,0.0818451046943665,1.14326761360798,1,0.0870677828788757,1.16758353199304,13.8060320320357,2083,563
ctrl,300,0.0715887546539307,1,1,0.0745709240436554,1,13.4537203112976,1428,433
hyper1,400,0.0581133663654328,0.811766689424342,1,0.056749701499939,0.761016471603819,12.9179210116911,3014,784
hyper2,500,0.0397200584411621,0.55483656103775,1,0.0381238460540771,0.511242773815684,12.5524157474073,2973,751
hyper3,600,0.0261756181716919,0.365638685827519,1,0.0247195065021515,0.331489877846762,12.0101109115805,3542,775
hyper4,700,0.0233710110187531,0.326462041863021,1,0.0215801000595092,0.289390272901484,11.8170715468532,2978,576
hypo2,200,0.0789446532726288,1.06538739670668,2,0.0866891741752625,1.14167261286593,14.2596682567724,2901,614
hypo1,250,0.0834751725196839,1.12652843547571,2,0.0892556309700012,1.17547214392079,14.0438565677974,2455,562
ctrl,300,0.0740994811058044,1,2,0.0759317278862,1,13.7365602092832,2654,741
hyper1,400,0.0642568171024323,0.867169596109342,2,0.0639197528362274,0.841805587935848,12.9875216741281,2746,742
hyper2,500,0.0474013686180114,0.639699062808935,2,0.0456516444683075,0.601219618454177,12.767499733771,3078,798
hyper3,600,0.0278307199478149,0.375585895238271,2,0.0256434679031372,0.337717428761393,12.1199061327967,3845,919
hyper4,700,0.0215831696987153,0.291272885810054,2,0.0201646685600281,0.265563146281212,11.8404026328406,3905,786
hypo2,200,0.0846425890922546,1.17300416975048,3,0.0918641686439514,1.24271092361628,14.1378661099247,3391,769
hypo1,250,0.083770751953125,1.16092197081835,3,0.0872772037982941,1.18065983880175,13.8565789355417,2818,732
ctrl,300,0.0721588134765625,1,3,0.0739223957061768,1,13.5504666384854,3017,884
hyper1,400,0.0624294877052307,0.865167880365828,3,0.0608829855918885,0.823606770455374,13.0271266938576,2464,631
hyper2,500,0.0581278204917908,0.805553995294988,3,0.056181788444519,0.760010385321218,12.7934120554365,3755,984
hyper3,600,0.0341140627861023,0.472763632639036,3,0.030716210603714,0.415519685344118,12.1062360407354,5226,1165
hyper4,700,0.0235333144664764,0.326132226025586,3,0.0216119885444641,0.29236049965651,11.7436685816663,4129,766
hypo2,200,0.0778127312660217,1.11080233769648,4,0.0854580998420715,1.18466442058818,14.0778764347446,2628,621
hypo1,250,0.07677361369133,1.0959685924683,4,0.0811622738838196,1.12511345726013,13.8831090172176,2313,578
ctrl,300,0.0700509250164032,1,4,0.0721369683742523,1,13.6235881616279,2554,744
hyper1,400,0.0536476969718933,0.76583852332187,4,0.0527709126472473,0.731537709950155,12.9193448900099,2783,742
hyper2,500,0.0429192781448364,0.612686815124659,4,0.0408776402473449,0.566667010946018,12.5318787803275,3442,889
hyper3,600,0.0323727428913117,0.462131554775775,4,0.0305896699428558,0.424049840633089,12.1970793675765,3712,856
hyper4,700,0.021066427230835,0.300730179164687,4,0.0195986032485961,0.271685984181052,11.7499335740005,3884,717
